id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
3482,Kokkola,Biogas,,PP,Finland,49.5,,,,,63.8333,23.0333,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1492', 'OEU-1493'}, 'GPD': {'WRI1002404', 'WRI1002403'}}"
3483,Koneharju Kt,Natural Gas,CCGT,PP,Finland,4.6,,,,,60.9827,25.6615,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1496'}, 'GPD': {'WRI1002408'}}"
3484,Korkeakoski,Hydro,,PP,Finland,8.5,,,,,61.7971,24.3723,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1497'}, 'GPD': {'WRI1002409'}}"
3485,Koskensaari,Oil,,PP,Finland,1.2,,,,,61.7667,28.7667,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1498'}, 'GPD': {'WRI1002410'}}"
3486,Kotka,Biogas,,PP,Finland,72.0,,,,,60.467787,26.95737,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1500'}, 'GPD': {'WRI1002412'}}"
3487,Kuhankoski,Hydro,,PP,Finland,3.2,,,,,60.9,26.6333,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1504'}, 'GPD': {'WRI1002418', 'WRI1002429'}}"
3488,Kuokkastenkoski,Hydro,,PP,Finland,2.0,,,,,63.5333,28.9667,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1507'}, 'GPD': {'WRI1002421'}}"
3489,Kuopio Savon Sellu,Biogas,,PP,Finland,20.5,,,,,62.8799,27.6768,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1508'}, 'GPD': {'WRI1002422'}}"
3490,Kuusamo,Biogas,,PP,Finland,6.0,,,,,65.9667,29.1833,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1513'}, 'GPD': {'WRI1002427'}}"
3491,Leuhunkoski,Hydro,,PP,Finland,3.2,,,,,64.2,29.5833,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1525'}, 'GPD': {'WRI1002439'}}"
3492,Loviisa Kt,Oil,,PP,Finland,40.0,,,,,60.3722,26.3472,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1530'}, 'GPD': {'WRI1002444'}}"
3493,Maavesi,Hydro,,PP,Finland,1.9,,,,,62.26,27.5436,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1535'}, 'GPD': {'WRI1002448'}}"
3494,Myllykoski Vp,Biogas,CCGT,PP,Finland,32.8,,,,,65.9667,29.1833,,0.0,0.0,0.0,{nan},"{'OPSD': {'OEU-1547'}, 'GPD': {'WRI1002461'}}"
3495,Kongsfjord,Hydro,Reservoir,Store,Norway,4.4,,1946.0,1946.0,,70.598729,29.057905,3343.7954545454545,88.1,70.5,14712.7,{nan},"{'JRC': {'JRC-N210'}, 'OPSD': {'OEU-3801'}}"
3496,Kongsfoss,Hydro,Reservoir,Store,Norway,2.9,,2004.0,2004.0,,59.89513,9.911384,,0.0,14.65,0.0,{nan},"{'JRC': {'JRC-N812'}, 'OPSD': {'OEU-3802'}}"
3497,Kongsmarka,Hydro,Reservoir,Store,Norway,2.5,,1920.0,1920.0,,68.241911,14.479522,2402.4,13.0,196.0,6006.0,{nan},"{'JRC': {'JRC-N211'}, 'OPSD': {'OEU-3803'}}"
